Product ID,Batch,Qty,D1,D2,D3
1415,B#-KHI-JULY21-03-27072021-djj,1,NO,NO,NO
1415,B#-KHI-JULY21-03-27072021,21,NO,NO,NO
1419,B#-JUNE-20-1-2004104,15,NO,NO,NO
1419,B#-JUNE-20-1-2004104-ADJ,9,NO,NO,NO
1420,B#-JUNE-20-1-19040022,25,NO,NO,NO
1420,B#-JUNE-20-1-19040022-dj,4,NO,NO,NO
1421,B#-JUNE-20-1-2010401,35,NO,NO,NO
1422,B#-KHI-AUG21-02-06082021-01,95,NO,NO,NO
1422,B#-KHI-JULY21-02-19072021-dj,1,NO,NO,NO
1422,B#-KHI-JULY21-02-19072021-djj,1,NO,NO,NO
1422,B#-KHI-JULY21-02-19072021,95,NO,NO,NO
1423,B#-JUNE-20-1-2007301,35,NO,NO,NO
1417,B#-KHI-JULY21-04-31072021-01,46,NO,NO,NO
1418,B#-JUNE-20-1-190103,13,NO,NO,NO
3834,B#-KHI-JULY21-02-19072021,48,NO,NO,NO
3685,B#-KHI-JULY21-01-06052021,45,NO,NO,NO
3542,B#-KHI-JULY21-02-19072021-dj,38,NO,NO,NO
3542,B#-KHI-JULY21-02-19072021,35,NO,NO,NO
3542,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3686,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3686,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3687,B#-KHI-JULY21-02-19072021,48,NO,NO,NO
3687,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
2800,B#-KHI-AUG21-02-06082021-01,2,NO,NO,NO
2800,B#-KHI-AUG21-02-06082021-01-djj,1,NO,NO,NO
3689,B#-KHI-JULY21-01-06052021,45,NO,NO,NO
3689,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3699,B#-KHI-JULY21-02-19072021,41,NO,NO,NO
2819,B#-KHI-MAY21-02-20052021,1,NO,NO,NO
2819,B#-KHI-JULY21-04-31072021-01,47,NO,NO,NO
3698,B#-KHI-JULY21-02-19072021,44,NO,NO,NO
3697,B#-KHI-JUNE21-03-14062021,48,NO,NO,NO
3697,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3690,B#-KHI-JULY21-04-31072021-01-dj,1,NO,NO,NO
3690,B#-KHI-JUN21-05-23082021,83,NO,NO,NO
3690,B#-KHI-JULY21-04-31072021-01,47,NO,NO,NO
1424,B#-NOV-20-1-01102020-dj,1,NO,NO,NO
2820,B#-MARCH-21-1-01012021,1,NO,NO,NO
2820,B#-MARCH-21-1-01012021-djj,11,NO,NO,NO
2820,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
3684,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3684,B#-KHI-JULY21-04-31072021-01,47,NO,NO,NO
3694,B#-KHI-JULY21-01-06052021,47,NO,NO,NO
3694,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3700,B#-KHI-JULY21-01-06052021,45,NO,NO,NO
3700,B#-KHI-JULY21-04-31072021-01-dj,1,NO,NO,NO
3700,B#-KHI-JULY21-04-31072021-01,47,NO,NO,NO
2821,B#-KHI-AUG21-02-06082021-01,48,NO,NO,NO
2821,B#-06072021-ADJ,2,NO,NO,NO
2821,B#-KHI-JULY21-02-19072021-dj,2,NO,NO,NO
