id,name,cost,price,dropship,crossdock,mrp,discount_two,discount_three
544,NFL Apple Jam 200g,67.30769231,75.38461538,71.71,93.12,97,10.29387755,21.8744898
630,NFL Mango Jam 200G,67.30769231,75.38461538,71.71,93.12,97,10.29387755,21.8744898
637,NFL Mixed Fruit Jam 200G,67.30769231,75.38461538,71.71,93.12,97,10.29387755,21.8744898
646,NFL Orange Marmalade 200g,67.30769231,75.38461538,71.71,93.12,97,10.29387755,21.8744898
665,NFL Strawberry Jam 440G,117.7884615,131.9230769,125.45,163.2,170,10.3090379,21.90670554
2207,NFL Apple Jelly 440G,112.1794872,125.6410256,119.46,155.52,162,10.31510204,21.91959184
2586,NFL Orange Marmalade 440gm (Rs.165),117.7884615,131.9230769,125.45,163.2,170,10.3090379,21.90670554
2589,NFL Mixed Fruit Jam 440G,117.7884615,131.9230769,125.45,163.2,170,10.3090379,21.90670554
2660,NFL Apple Jam 440gm,117.7884615,131.9230769,125.45,163.2,170,10.3090379,21.90670554
2725,NFL Mango Jam 440gm (Rs.162),117.7884615,131.9230769,125.45,163.2,170,10.3090379,21.90670554
2740,NFL strawberry Jam 200G,67.30769231,75.38461538,71.71,93.12,97,10.29387755,21.8744898
2749,NFL Pineapple Jam 440G (Rs.210),155.6547619,174.3333333,165.89,215.04,224,10.2791587,21.84321224
3965,NFL Mango (Chunky) 385gm,200.3839286,224.43,213.4531,277.44,289,10.30165308,21.89101279
3966,NFL Strawberry (Chunky) 385gm,200.3839286,224.43,213.4531,277.44,289,10.30165308,21.89101279
3967,NFL Mixed Fruit (Chunky) 385gm,200.3839286,224.43,213.4531,277.44,289,10.30165308,21.89101279
3964,NFL Apple (Chunky) 385gm,240.3846154,269.2307692,256.01,333.12,347,10.31085714,21.91057143
